,Address
0,"5 AVENUE, New York"
1,"63 ROAD, New York"
2,"DAVENPORT COURT, New York"
3,"104 STREET, New York"
4,"BEACH 13 STREET, New York"
5,"NEW HAVEN AVENUE, New York"
6,"ARTHUR KILL ROAD, New York"
7,"102 STREET, New York"
8,"PLIMPTON AVENUE, New York"
9,"1528 SURF AVENUE, New York"
10,"BEACH 36 STREET, New York"
11,"BEACH 37 STREET, New York"
12,"MANOR ROAD, New York"
13,"FINE BOULEVARD, New York"
14,"BEACH 36 STREET, New York"
15,"BAYVIEW TERRACE, New York"
16,"45 SOMERS STREET, New York"
17,"MELROSE AVENUE, New York"
18,"387 EAST 156 STREET, New York"
19,"RIVERDALE AVENUE, New York"
20,"480 BEACH 43 STREET, New York"
21,"BEACH 43 STREET, New York"
22,"BEACH 43 STREET, New York"
23,"518 BEACH 43 STREET, New York"
24,"BEACH 43 STREET, New York"
25,"BEACH 44 STREET, New York"
26,"574 BEACH 44 STREET, New York"
27,"BEACH 44 STREET, New York"
28,"BEACH 44 STREET, New York"
